diet,flavor,time,feedback
vegetarian,sweet,20,no
vegetarian,sweet,30,yes
vegan,sweet,45,yes
vegetarian,sweet,45,yes
vegetarian,sweet,45,no
vegan,sweet,30,yes
vegan,savory,20,no
vegan,sweet,30,yes
vegan,savory,45,yes
vegan,savory,30,yes
carnivore_fish,sweet,60,no
vegetarian,sweet,45,no
vegetarian,spicy,15,yes
vegan,sweet,15,no
vegan,savory,60,no
carnivore_chicken,sweet,30,no
vegan,sweet,15,no
carnivore_chicken,sweet,15,yes
vegetarian,spicy,15,no
carnivore_fish,sweet,60,yes
vegetarian,sweet,30,no
carnivore_fish,spicy,15,no
carnivore_fish,spicy,20,yes
vegan,spicy,15,yes
vegan,sweet,30,no
carnivore_fish,savory,20,no
vegetarian,spicy,30,no
vegetarian,spicy,45,no
carnivore_chicken,spicy,30,yes
vegan,savory,20,yes
vegetarian,savory,30,yes
carnivore_fish,spicy,45,yes
carnivore_chicken,spicy,30,yes
vegan,savory,20,yes
carnivore_meat,savory,15,yes
vegetarian,sweet,45,no
carnivore_meat,savory,20,yes
vegan,sweet,45,yes
vegan,sweet,30,no
carnivore_meat,savory,60,no
carnivore_chicken,sweet,60,no
vegan,sweet,30,yes
vegetarian,spicy,60,yes
vegan,spicy,60,yes
carnivore_fish,savory,60,no
vegan,spicy,45,no
carnivore_meat,spicy,45,yes
vegan,spicy,20,yes
vegan,savory,20,yes
carnivore_fish,savory,20,yes
carnivore_meat,savory,30,yes
vegan,savory,30,no
carnivore_fish,sweet,45,no
vegan,spicy,30,no
vegetarian,savory,20,no
vegetarian,spicy,60,yes
vegetarian,savory,60,yes
carnivore_chicken,sweet,60,no
vegetarian,spicy,45,no
vegan,spicy,20,no
vegetarian,spicy,30,yes
vegan,sweet,45,yes
vegetarian,spicy,20,no
vegetarian,sweet,30,yes
vegan,spicy,60,no
carnivore_fish,savory,30,yes
vegan,spicy,15,no
vegan,sweet,60,no
vegetarian,spicy,15,no
vegetarian,savory,15,yes
vegetarian,savory,30,no
vegan,spicy,45,no
vegetarian,savory,15,no
vegetarian,sweet,30,no
vegan,spicy,20,no
vegan,spicy,45,no
vegan,sweet,15,yes
vegan,spicy,30,yes
vegan,sweet,15,yes
carnivore_fish,savory,15,yes
vegan,savory,20,yes
vegan,spicy,60,yes
vegetarian,spicy,30,yes
vegetarian,sweet,15,yes
carnivore_fish,savory,45,yes
vegan,spicy,30,yes
vegan,sweet,15,no
vegetarian,savory,20,no
vegan,spicy,60,yes
vegetarian,sweet,45,no
vegetarian,spicy,15,no
vegan,savory,20,yes
vegan,spicy,60,yes
vegetarian,savory,60,no
carnivore_meat,savory,45,no
carnivore_meat,spicy,60,yes
vegan,spicy,15,no
vegetarian,sweet,20,yes
vegetarian,savory,45,no
vegan,savory,15,no
